ref_id_side,route,count
23703066R,305X,4
23703107L,304X,6
23703107R,304X,8
23703111L,304X,6
23703111R,304X,8
23703220L,203X,4
23703221L,203X,4
23703222L,203X,4
23703223L,205X,2
23703223R,205X,2
23703226R,205X,6
23703491L,302X,4
23703491R,302X,4
23703717R,103X,5
23703718L,103X,12
23703718R,103X,13
23703738L,203X,7
23703739L,203X,7
23703883L,504X,4
23703883R,504X,4
23703905L,105X,7
23703905R,105X,6
23703906L,105X,9
23703906R,105X,9
23704021R,404X,10
23704022R,404X,12
23704023L,203X,2
23704023R,203X,1
23704026L,203X,1
23704026R,404X,1
23704027L,203X,1
23704027R,203X,2
23704028L,203X,4
23704028R,203X,1
23704049L,404X,5
23704049R,404X,5
23704060L,504X,16
23704254L,303X,5
23704254R,303X,5
23704255L,303X,3
23704255R,303X,4
23704256L,303X,1
23704256R,303X,1
23704454L,502X,6
23704454R,502X,6
23704505L,404X,3
23704505R,404X,6
23704548R,402X,2
23704564L,302X,1
23704564R,302X,4
23704587L,105X,6
23704588L,105X,3
23704589L,105X,2
23704631L,204X,2
23704631R,204X,4
23704632L,204X,4
23704632R,204X,1
23704688L,302X,2
23704688R,302X,1
23704689L,302X,3
23704689R,302X,3
23704805L,105X,15
23704805R,105X,15
23704903L,105X,9
23704903R,105X,9
23704904L,105X,9
23704904R,105X,8
23704919L,105X,5
23704919R,105X,2
23704920L,105X,1
23704920R,105X,1
23704921L,205X,5
23704921R,205X,4
23704923L,504X,10
23704923R,504X,10
23704924L,502X,8
23704924R,502X,7
23704950L,403X,1
23704950R,403X,1
23705066L,502X,2
23705066R,502X,3
23705338L,402X,18
23705338R,402X,16
23705339L,402X,3
23705339R,402X,3
23705537R,504X,3
23705538L,504X,1
23705539L,504X,3
23705692L,203X,1
23705692R,203X,2
23705693L,203X,2
23705693R,203X,5
23705797L,304X,5
23705797R,304X,6
23705798L,304X,6
23705798R,304X,5
23705820L,104X,2
23705820R,104X,4
23705821L,104X,2
23705821R,104X,3
23705822L,104X,3
23705822R,104X,5
23705823L,103X,4
23705823R,103X,4
23705826L,103X,1
23705826R,103X,2
23705827R,102X,1
23705877L,304X,8
23705877R,304X,6
23705915L,103X,3
23705915R,103X,3
23705994L,204X,11
23705994R,204X,9
23706000R,303X,4
23706058L,103X,3
23706058R,103X,2
23706061L,202X,2
23706061R,202X,3
23706087L,205X,8
23706087R,205X,8
23706110L,504X,4
23706110R,502X,2
23706111R,504X,3
23706113R,502X,1
23706117R,502X,4
23706118L,502X,5
23706118R,502X,5
23706183L,304X,8
23706183R,304X,7
23706184R,304X,3
23706208L,305X,2
23706208R,305X,1
23706314L,202X,11
23706314R,202X,12
23706333L,403X,1
23706333R,403X,1
23706418L,105X,9
23706418R,105X,11
23706419L,105X,3
23706419R,105X,6
23706420L,105X,4
23706420R,105X,4
23706421L,105X,6
23706421R,105X,2
23706620L,504X,6
23706620R,504X,6
23706623L,405X,5
23706623R,405X,6
23706801R,305X,4
23706888R,502X,1
23706890L,503X,7
23706890R,503X,7
23707005R,403X,2
23707114L,202X,3
23707115L,202X,2
23707115R,202X,6
23707116R,202X,4
23707350L,304X,1
23707350R,304X,2
23707365L,405X,3
23707365R,405X,2
23707422L,105X,8
23707422R,105X,8
23707423R,105X,4
23707424R,105X,5
23707425L,105X,1
23707425R,105X,2
23707428L,105X,3
23707428R,105X,3
23707444L,204X,2
23707444R,204X,2
23707449L,204X,6
23707449R,204X,5
23707450L,204X,4
23707450R,204X,2
23707453L,204X,4
23707453R,204X,2
23707454L,204X,3
23707454R,204X,1
23707455L,204X,4
23707455R,204X,2
23707456L,204X,2
23707456R,204X,2
23707477L,103X,8
23707477R,104X,6
23707479L,103X,8
23707479R,104X,3
23707483L,304X,3
23707483R,304X,4
23707563R,505X,1
23707805L,105X,2
23707805R,105X,3
23707911L,405X,2
23707911R,405X,5
23707912L,405X,3
23707912R,405X,5
23707913L,405X,2
23707913R,405X,4
23707914R,405X,5
23708028L,204X,6
